,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds,Team1_SideFirstHalf,Team2_SideFirstHalf,Team1_RoundsFirstHalf,Team1_RoundsSecondtHalf,Team1_RoundsOT,Team2_RoundsFirstHalf,Team2_RoundsSecondtHalf,Team2_RoundsOT,Team1_PistolWon,Team1_Eco,Team1_EcoWon,Team1_SemiEco,Team1_SemiEcoWon,Team1_SemiBuy,Team1_SemiBuyWon,Team1_FullBuy,Team1_FullBuyWon,Team2_PistolWon,Team2_Eco,Team2_EcoWon,Team2_SemiEco,Team2_SemiEcoWon,Team2_SemiBuy,Team2_SemiBuyWon,Team2_FullBuy,Team2_FullBuyWon
10299,17993,10361,Bind,1208,2824,ORDER,Exsto Gaming,ORDER,13,5,attack,defend,8,5,0,4,1,0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,12.0,10.0,1.0,2.0,1.0,4.0,0.0,5.0,2.0,7.0,2.0
10300,17998,10363,Icebox,1696,1319,Wildcard Gaming,Funcrew,Wildcard Gaming,13,9,defend,attack,5,8,0,7,2,0,2.0,2.0,2.0,3.0,0.0,6.0,3.0,11.0,8.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,13.0,7.0
10301,17999,10363,Ascent,1696,1319,Wildcard Gaming,Funcrew,Wildcard Gaming,13,7,attack,defend,8,5,0,4,3,0,2.0,2.0,2.0,1.0,0.0,6.0,4.0,11.0,7.0,0.0,4.0,0.0,1.0,1.0,4.0,2.0,11.0,4.0
10302,18001,10364,Bind,2827,1352,AGG,Dire Wolves,AGG,13,4,attack,defend,8,5,0,4,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,11.0,7.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,9.0,3.0
10303,18002,10364,Haven,2827,1352,AGG,Dire Wolves,Dire Wolves,11,13,defend,attack,5,6,0,7,6,0,2.0,2.0,2.0,3.0,1.0,7.0,3.0,12.0,5.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,15.0,12.0
10304,18003,10364,Split,2827,1352,AGG,Dire Wolves,Dire Wolves,14,16,defend,attack,10,2,2,2,10,4,1.0,3.0,1.0,1.0,0.0,5.0,2.0,21.0,11.0,1.0,4.0,1.0,2.0,0.0,6.0,3.0,18.0,12.0
10305,18004,10365,Ascent,591,1405,Mindfreak,Shadownet,Mindfreak,13,2,defend,attack,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,10.0,8.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,6.0,2.0
10306,18005,10365,Bind,591,1405,Mindfreak,Shadownet,Mindfreak,13,3,attack,defend,11,2,0,1,2,0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,10.0,10.0,0.0,3.0,0.0,4.0,1.0,4.0,2.0,5.0,0.0
10307,17839,10301,Haven,516,277,FAV gaming,Crazy Raccoon,FAV gaming,13,11,attack,defend,7,6,0,5,6,0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,15.0,9.0,1.0,3.0,1.0,3.0,0.0,4.0,3.0,14.0,7.0
10308,17840,10301,Ascent,516,277,FAV gaming,Crazy Raccoon,Crazy Raccoon,9,13,defend,attack,8,1,0,4,9,0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,12.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,14.0,9.0
10309,17841,10301,Bind,516,277,FAV gaming,Crazy Raccoon,Crazy Raccoon,9,13,attack,defend,5,4,0,7,6,0,0.0,3.0,0.0,1.0,0.0,5.0,2.0,13.0,7.0,2.0,2.0,2.0,0.0,0.0,7.0,5.0,13.0,6.0
10310,17606,10210,Ascent,631,5248,beastcoast,Evil Geniuses,beastcoast,13,6,defend,attack,9,4,0,3,3,0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,14.0,11.0,2.0,3.0,2.0,1.0,0.0,9.0,2.0,6.0,2.0
10311,17607,10210,Icebox,631,5248,beastcoast,Evil Geniuses,beastcoast,13,11,attack,defend,8,5,0,4,7,0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,17.0,10.0,2.0,3.0,2.0,2.0,0.0,3.0,2.0,16.0,7.0
10312,17627,10217,Haven,120,2759,100 Thieves,VZN,100 Thieves,13,4,defend,attack,9,4,0,3,1,0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,10.0,9.0,2.0,2.0,2.0,2.0,0.0,8.0,2.0,5.0,0.0
10313,17628,10217,Ascent,120,2759,100 Thieves,VZN,100 Thieves,13,8,defend,attack,8,5,0,4,4,0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,14.0,11.0,2.0,2.0,2.0,4.0,1.0,7.0,4.0,8.0,1.0
10314,17591,10205,Bind,17,2348,Gen.G,VIRTUOSO,Gen.G,13,2,defend,attack,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,8.0,7.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,6.0,2.0
10315,17592,10205,Icebox,17,2348,Gen.G,VIRTUOSO,Gen.G,13,10,defend,attack,7,6,0,5,5,0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,15.0,12.0,1.0,2.0,1.0,1.0,0.0,12.0,5.0,8.0,4.0
10316,17579,10201,Icebox,106,2476,TSM,D2E Gold,TSM,13,5,defend,attack,10,3,0,2,3,0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,11.0,10.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,10.0,3.0
10317,17580,10201,Ascent,106,2476,TSM,D2E Gold,TSM,13,3,attack,defend,10,3,0,2,1,0,1.0,2.0,1.0,0.0,0.0,5.0,4.0,9.0,8.0,1.0,2.0,1.0,5.0,0.0,4.0,1.0,5.0,1.0
10318,17597,10207,Haven,188,6417,Cloud9,Fluid Gaming,Cloud9,13,7,attack,defend,7,6,0,5,2,0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,12.0,9.0,2.0,3.0,2.0,2.0,0.0,6.0,2.0,9.0,3.0
10319,17598,10207,Split,188,6417,Cloud9,Fluid Gaming,Cloud9,13,4,attack,defend,8,5,0,4,0,0,1.0,2.0,1.0,1.0,0.0,6.0,4.0,8.0,8.0,1.0,2.0,1.0,1.0,0.0,10.0,3.0,4.0,0.0
10320,17603,10209,Haven,427,1654,Envy,Archons,Envy,13,9,defend,attack,7,6,0,5,4,0,1.0,2.0,1.0,2.0,2.0,8.0,2.0,10.0,8.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,14.0,7.0
10321,17604,10209,Bind,427,1654,Envy,Archons,Envy,13,4,attack,defend,9,4,0,3,1,0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,10.0,7.0,0.0,3.0,0.0,4.0,2.0,4.0,1.0,6.0,1.0
10322,17639,10221,Split,1034,2244,NRG Esports,ANEW Esports,NRG Esports,13,2,defend,attack,10,3,0,2,0,0,2.0,3.0,3.0,0.0,0.0,4.0,3.0,8.0,7.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,7.0,2.0
10323,17640,10221,Icebox,1034,2244,NRG Esports,ANEW Esports,NRG Esports,13,5,attack,defend,9,4,0,3,2,0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,11.0,7.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,10.0,5.0
10324,17645,10223,Ascent,856,1030,Andbox,Take Flyte,Andbox,13,6,defend,attack,7,6,0,5,1,0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,11.0,9.0,1.0,3.0,1.0,3.0,0.0,7.0,3.0,6.0,2.0
10325,17646,10223,Icebox,856,1030,Andbox,Take Flyte,Andbox,13,3,attack,defend,11,2,0,1,2,0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,11.0,10.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,7.0,1.0
10326,17651,10225,Split,337,994,FaZe Clan,Flow State,FaZe Clan,13,10,defend,attack,6,7,0,6,4,0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,14.0,9.0,1.0,4.0,2.0,1.0,0.0,5.0,3.0,13.0,5.0
10327,17652,10225,Ascent,337,994,FaZe Clan,Flow State,FaZe Clan,13,5,attack,defend,8,5,0,4,1,0,2.0,2.0,2.0,0.0,0.0,6.0,5.0,10.0,6.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,8.0,4.0
10328,17660,10228,Haven,2815,1166,Version1,Time In,Version1,13,3,defend,attack,9,4,0,3,0,0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,10.0,8.0,1.0,3.0,1.0,2.0,0.0,5.0,0.0,6.0,2.0
10329,17661,10228,Icebox,2815,1166,Version1,Time In,Version1,13,1,attack,defend,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,8.0,7.0,0.0,3.0,0.0,3.0,0.0,4.0,1.0,4.0,0.0
10330,17663,10229,Ascent,14,2209,T1,Headshot Percentage,Headshot Percentage,7,13,defend,attack,4,3,0,8,5,0,0.0,2.0,0.0,2.0,0.0,7.0,3.0,9.0,4.0,2.0,3.0,2.0,0.0,0.0,5.0,3.0,12.0,8.0
10331,17664,10229,Icebox,14,2209,T1,Headshot Percentage,T1,13,3,attack,defend,11,2,0,1,2,0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,10.0,9.0,0.0,3.0,0.0,3.0,0.0,4.0,2.0,6.0,1.0
10332,17665,10229,Haven,14,2209,T1,Headshot Percentage,Headshot Percentage,9,13,defend,attack,5,4,0,7,6,0,1.0,2.0,1.0,4.0,0.0,4.0,2.0,12.0,6.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,12.0,8.0
10333,17636,10220,Ascent,470,2802,Complexity,Reformed,Complexity,13,3,defend,attack,9,4,0,3,0,0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,10.0,10.0,1.0,2.0,1.0,2.0,0.0,7.0,2.0,5.0,0.0
10334,17637,10220,Haven,470,2802,Complexity,Reformed,Reformed,7,13,defend,attack,6,1,0,6,7,0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,10.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,4.0,12.0,7.0
10335,17638,10220,Split,470,2802,Complexity,Reformed,Complexity,13,11,defend,attack,6,7,0,6,5,0,1.0,3.0,1.0,2.0,0.0,6.0,3.0,13.0,9.0,1.0,2.0,1.0,2.0,0.0,8.0,2.0,12.0,8.0
10336,17861,10309,Bind,581,1830,Liberty ,Vorax,Liberty ,16,14,attack,defend,3,9,4,9,3,2,1.0,3.0,1.0,0.0,0.0,7.0,3.0,20.0,12.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,20.0,10.0
10337,17804,10288,Bind,1830,2428,Vorax,SLICK,Vorax,13,5,defend,attack,8,5,0,4,1,0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,12.0,8.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,6.0,2.0
10338,17387,10137,Haven,120,2799,100 Thieves,Caught in 4k,100 Thieves,13,4,attack,defend,11,2,0,1,3,0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,10.0,10.0,0.0,3.0,0.0,1.0,0.0,8.0,3.0,5.0,1.0
10339,17388,10137,Bind,120,2799,100 Thieves,Caught in 4k,100 Thieves,13,1,defend,attack,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,9.0,8.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,4.0,1.0
10340,17405,10143,Icebox,470,2770,Complexity,SFG,Complexity,13,2,defend,attack,10,3,0,2,0,0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,9.0,8.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,5.0,1.0
10341,17406,10143,Haven,470,2770,Complexity,SFG,Complexity,13,4,attack,defend,9,4,0,3,1,0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,10.0,8.0,2.0,2.0,2.0,3.0,0.0,8.0,1.0,4.0,1.0
10342,17411,10145,Split,1034,2793,NRG Esports,Pure,NRG Esports,13,0,defend,attack,12,1,0,0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0
10343,17412,10145,Haven,1034,2793,NRG Esports,Pure,NRG Esports,13,7,attack,defend,6,7,0,6,1,0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,13.0,7.0,1.0,3.0,1.0,4.0,0.0,3.0,2.0,10.0,4.0
10344,17423,10149,Icebox,856,2779,Andbox,Amarok Esports ,Andbox,13,2,defend,attack,11,2,0,1,1,0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,10.0,9.0,1.0,3.0,1.0,2.0,0.0,6.0,1.0,4.0,0.0
10345,17424,10149,Split,856,2779,Andbox,Amarok Esports ,Andbox,13,3,attack,defend,11,2,0,1,2,0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,9.0,9.0,1.0,2.0,1.0,4.0,0.0,5.0,2.0,5.0,0.0
10346,17429,10151,Ascent,1267,2774,Cloud9 White ,Lunch Club,Cloud9 White ,13,4,defend,attack,8,5,0,4,0,0,1.0,3.0,1.0,0.0,0.0,4.0,4.0,10.0,8.0,1.0,3.0,1.0,2.0,0.0,5.0,1.0,7.0,2.0
10347,17430,10151,Icebox,1267,2774,Cloud9 White ,Lunch Club,Lunch Club,9,13,attack,defend,8,1,0,4,9,0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,14.0,6.0,1.0,3.0,1.0,2.0,0.0,3.0,3.0,14.0,9.0
10348,17431,10151,Haven,1267,2774,Cloud9 White ,Lunch Club,Cloud9 White ,13,7,defend,attack,7,6,0,5,2,0,2.0,2.0,2.0,1.0,1.0,7.0,4.0,10.0,6.0,0.0,4.0,0.0,3.0,1.0,3.0,1.0,10.0,5.0
10349,17441,10155,Ascent,2287,2800,eUnited,GCU Esports,eUnited,13,3,defend,attack,9,4,0,3,0,0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,10.0,8.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,7.0,2.0
10350,17442,10155,Bind,2287,2800,eUnited,GCU Esports,eUnited,13,3,attack,defend,10,3,0,2,1,0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,9.0,7.0,1.0,4.0,1.0,2.0,0.0,3.0,0.0,7.0,2.0
10351,17456,10160,Bind,1166,2781,Time In,S2,Time In,13,3,defend,attack,9,4,0,3,0,0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,10.0,9.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,6.0,0.0
10352,17457,10160,Ascent,1166,2781,Time In,S2,Time In,13,8,attack,defend,8,5,0,4,4,0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,14.0,11.0,2.0,2.0,2.0,1.0,0.0,8.0,4.0,10.0,2.0
10353,17459,10161,Haven,14,2794,T1,NC State Esports,T1,13,2,defend,attack,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,8.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,5.0,2.0
10354,17460,10161,Icebox,14,2794,T1,NC State Esports,T1,13,0,defend,attack,12,1,0,0,0,0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,9.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0
10355,17471,10165,Ascent,473,2801,Built By Gamers,IQ White,Built By Gamers,13,5,defend,attack,9,4,0,3,2,0,1.0,2.0,1.0,0.0,0.0,6.0,6.0,10.0,6.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,7.0,1.0
10356,17472,10165,Bind,473,2801,Built By Gamers,IQ White,Built By Gamers,13,7,attack,defend,7,6,0,5,2,0,1.0,2.0,1.0,1.0,0.0,6.0,5.0,11.0,7.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,13.0,6.0
10357,17483,10169,Split,106,2444,TSM,ATK Mode,TSM,13,1,defend,attack,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,9.0,8.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,5.0,1.0
10358,17484,10169,Bind,106,2444,TSM,ATK Mode,TSM,13,4,defend,attack,9,4,0,3,1,0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0,8.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,8.0,3.0
10359,17501,10175,Ascent,632,2786,Dignitas,Shoguns,Dignitas,13,2,defend,attack,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,10.0,8.0,0.0,3.0,0.0,2.0,1.0,6.0,1.0,4.0,0.0
10360,17502,10175,Bind,632,2786,Dignitas,Shoguns,Dignitas,13,4,attack,defend,9,4,0,3,1,0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,10.0,7.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,0.0
10361,17507,10177,Haven,17,2785,Gen.G,TAMU Maroon,Gen.G,13,2,attack,defend,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,8.0,6.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,6.0,2.0
